3564.55 1.63
3740.08 0.84
3386.13 1.26
1238.26 1.74
3335.58 1.11
1504.34 1.21
3067.00 0.94
1813.39 1.05
1563.63 1.27
1491.87 1.57
2311.92 0.62
2462.21 0.99
2967.07 1.40
2001.05 0.82
1586.47 1.41
1958.34 1.19
2176.65 0.81
2509.11 1.27
4196.29 1.05
1554.51 0.78
1413.97 0.73
781.60 0.64
2031.04 1.36
4554.31 0.92
3613.80 1.13
2841.48 1.44
1874.72 1.24
2949.26 0.98
2400.94 1.17
2572.31 0.91
3258.67 1.27
1650.08 1.09
2661.44 1.25
3439.77 1.11
2429.35 1.08
2480.64 1.02
1755.01 0.97
1322.63 0.51
1786.93 0.50
1593.40 1.03
1644.84 0.59
1146.31 0.98
3280.38 1.45
1768.02 0.96
1562.16 0.86
3076.65 1.28
620.13 0.54
1587.08 1.10
1284.63 0.71
1552.86 0.69
1207.42 0.49
1497.37 0.56
1209.29 0.54
2798.17 1.05
2078.73 0.73
1163.57 0.59
3795.20 1.06
1984.28 1.05
1430.65 0.40
669.79 0.63
909.07 0.60
702.65 0.71
1974.22 1.32
777.74 0.70
1711.20 1.04
1935.32 1.05
818.51 0.68
1098.94 0.58
782.21 1.61
1308.41 0.59
3481.23 0.87
729.47 0.97
3051.79 1.22
1691.51 0.87
1340.53 0.62
2440.62 0.86
1432.47 0.82
3105.97 1.30
3411.32 1.90
1397.72 0.68
1192.63 0.73
1403.28 1.07
5068.38 1.67
2876.09 1.28
1262.21 0.66
3127.55 0.97
1787.00 0.88
3135.89 1.00
1316.46 0.78
1774.05 0.97
1785.94 0.62
1880.78 0.91
1679.49 0.55
1541.21 0.66
2085.45 1.16
3497.63 1.00
1199.28 0.61
883.46 0.54
1155.87 0.68
1786.71 0.92
1825.38 0.76
484.51 0.57
1265.45 0.52
878.19 0.78
973.21 0.62
1658.33 1.35
1193.00 0.86
1258.99 0.58
4512.08 1.91
1166.02 0.70
878.83 0.72
1277.32 0.94
1652.68 1.39
939.38 0.84
701.44 0.81
1287.78 0.67
710.62 0.87
2128.00 1.20
2445.60 1.33
2632.98 0.71
1135.02 0.67
3074.43 1.02
4524.59 1.93
1668.53 0.84
1448.58 0.69
1594.56 0.51
1737.10 0.73
3123.06 0.76
1753.59 1.05
3230.51 1.19
1247.21 0.72
2265.46 0.98
2358.94 0.87
1999.05 0.78
3100.09 0.87
1440.52 0.67
1239.47 0.63
1091.68 0.62
2054.41 1.12
1051.21 0.78
820.34 0.44
2441.07 0.85
1151.79 0.67
1422.34 0.70
1022.57 0.50
1192.90 0.83
1293.57 1.19
1825.57 0.83
1700.22 0.86
1590.43 0.53
1422.64 0.65
647.91 1.04
930.18 1.88
1040.89 0.57
1489.71 0.80
1278.45 0.63
2702.81 1.15
2276.91 0.60
1214.62 0.57
1059.89 0.45
1245.53 0.81
3128.62 0.97
3947.74 1.28
1287.77 0.78
4632.11 1.03
1766.40 0.50
971.92 0.57
2542.60 0.82
3147.00 1.17
1779.76 0.62
1253.60 0.68
1891.38 0.70
2179.56 1.21
988.32 0.61
982.06 0.41
662.91 0.44
928.26 1.12
2166.91 1.17
1400.81 0.31
